text,topic
Rooney hands in transfer request EVERTON manager David Moyes will steadfastly block Wayne Rooneys transfer from Goodison Park if he does not get the valuation he wants for the England striker before Tuesdays transfer deadline.,Sports
"Russia, France 2-0 up Russia and France are on track for a meeting in the Fed Cup final in Moscow after both teams took 2-0 leads following the first day of their respective semi-finals.",Sports
"Familiar refrain as Singh leads Just when Vijay Singh thinks he can't play better, he does. Just when it seems he can't do much more during his Tiger Woods-like season, he does that, too.",Sports
"Bonds #39; 700th home run ball: It #39;s going, going, gone for \$804,129 It was no ordinary baseball, but the baseball that Barry Bonds hit over the left-field fence last month at SBC Park in San Francisco for his 700th career homer and promptly was put on the online auction block.",Sports
"Prior can see team putting it together Pitcher Mark Prior said the Cubs have survived the early part of the season-ending road trip, and promised good things to come as the team winds up the regular season at home.",Sports
Giants Plan to Honor Bonds' Milestones (AP) AP - The San Francisco Giants will honor Barry Bonds' home run milestones and other achievements as they always have  #151; with great fanfare.,Sports
Hands Off for Patriots in Rematch With Colts Indianapolis' loss to New England in the A.F.C. championship game in January will have an impact on officiating as the N.F.L. begins the 2004 season Thursday night.,Sports
"Neck Injury Ends Rich Gannon's Season (AP) AP - Rich Gannon will not return to the field for the Oakland Raiders this season because of a broken vertebra in his neck. The quarterback, who turns 39 in December, saw four of the country's top neck and spine specialists over the past couple of weeks and was told he shouldn't try to play again this year. But Gannon didn't rule out a return next season and wasn't ready to say he's going to retire.",Sports
Pakistanis greet first World Cup win over India with fireworks and flags,Sports
"Former Blue Jays Manager Mattick Dies TORONTO Dec 17, 2004 - Bobby Mattick, who managed the Toronto Blue Jays in 1980 and  #39;81 and helped develop the talent that produced five division titles and two World Series championships, died Friday at 89.",Sports
Safin topples Agassi to turn heat on Henman Marat Safin ended the 34-year-old Andre Agassi #39;s run at the Madrid Masters yesterday and put further pressure on Tim Henman in the battle for qualification for the Masters Cup in Houston next month.,Sports
"FOOTBALL: ONE-NORSE RACE FOR GUNNERS Considering Rosenborg haven #39;t won away in Europe for five years, Highbury would have been rocked if the Gunners hadn #39;t. The Norwegian challenge was snuffed out by the break.",Sports
"Bobcats Sign Veteran Guard Smith  CHARLOTTE, North Carolina (Sports Network) - The Charlotte  Bobcats signed free agent shooting guard Steve Smith on  Thursday.",Sports
"Marlins Guarantee Mike Lowell's Contract (AP) AP - New ballpark or not, Mike Lowell is staying with the Florida Marlins. Lowell, who could have opted out of his contract because the team hasn't secured new stadium financing, agreed Friday to a revised deal in which the team guarantees the remaining  #36;25.5 million on his contract.",Sports
Daniel Andrews says he expects all Australian Open participants to be 'double-vaxxed' despite leaked email - Wide World of Sports,Sports
Chris Harrison Is Engaged to Lauren Zima: 'The Next Chapter Starts Now',Sports
"Sports: Falcons 21 Chargers 20 ATLANTA San Diego led 17-to-7 in the fourth quarter when Michael Vick, whose rights were traded by the Chargers to Atlanta in 2001, got rolling.",Sports
"Miller to receive state funeral Victorian Premier Steve Bracks says a state funeral will be held next week for cricketing great Keith Miller, who died on Monday on the Mornington Peninsula.",Sports
It #39;s easy to paint Green optimistic It was hard to find anything amiss or out of place. That #39;s the way things generally go on media day. There are smiles all around.,Sports
Venus Leads Seeds Into Advanta Quarter-Finals  NEW YORK (Reuters) - Venus Williams and Vera Zvonareva  registered second-round victories at the Advanta Championships  in Philadelphia Thursday to remain in the chase for places in  next week's lucrative end-of-season tournament.,Sports
"Del Neri takes over at AS Roma Former Chievo Verona coach Luigi Del Neri Wednesday took over to coach troubled Serie A club AS Roma, local media reported Wednesday.",Sports
"Heroics of Ryder Cup inspire Stenson to victory Having lost four of the last five Ryder Cups, an even bigger worry for American golf should be that they have lost the last three Walker Cups.",Sports
AROUND THE HORN: Bonds tested:  #39;It will clear my name #39; SAN FRANCISCO -- Barry Bonds hopes his random steroid test last week will remove suspicion that he uses performance-enhancing drugs.,Sports
"Quarterback's Slump Doesn't Faze Steelers (AP) AP - The big plays don't come as regularly, and neither do the deep pass completions. He has led only two touchdown drives and was sacked 11 times the last two weeks even while facing losing-record opponents.",Sports
"N.H.L. Owner Is Criticized for Talking of Replacement Players The day before the regular season was supposed to open, the N.H.L. rebuked a team official for his comments about the league's strategy in its labor lockout.",Sports
Purdue Slams Syracuse Kyle Orton passes for 287 yards and a career-high four touchdowns to lead the Boilermakers to a 51-0 victory over Syracuse on Sunday.,Sports
Defiant Solskjaer insists Man Utd are ‘close’ despite overseeing their ‘darkest day’ in Liverpool demolition,Sports
"Yorke accuses Blackburn fans of racist abuse An otherwise wonderful advert for English football was blemished by racism yesterday. As Dwight Yorke, a second-half substitute for Birmingham, warmed up on the touchline of his former club two or, possibly ",Sports
"Roddick, Fish lead US challenge NEW YORK -- World number two Andy Roddick and 37th-ranked Mardy Fish will lead the United States in next month #39;s Davis Cup final against hosts Spain.",Sports
New award 'a great honour' for swimming icon,Sports
"Listless  #39;Canes upset by Hokies VA. TECH 16, UM 10: With an ACC title and BCS berth on the line, Miami stumbles. By BOB HARIG, Times Staff Writer. MIAMI - Perhaps they were too stunned to react.",Sports
"SEEDED TRIO BOW OUT David Nalbandian, Nicolas Massu and Rainer Schuettler - the top three seeds - all lost on Friday in the quarter-finals of the indoor hardcourt event in Vienna.",Sports
Rain disrupts opening day of third round matches,Sports
"Yankees acquire new leadoff man The Yankees have found a new leadoff man, signing free-agent second baseman Tony Womack to a two-year contract, Sporting News has learned.",Sports
"Earnhardt wins extended race in Phoenix AVONDALE, Arizona (Ticker) -- Amid darkness, rain and a series of late crashes, Dale Earnhardt Jr. recorded an overtime victory in Sunday #39;s NASCAR Nextel Cup Checker Auto Parts 500.",Sports
Colts Punish Bears 41-10 (AP) AP - Edgerrin James on the ground. Peyton Manning through the air. The Indianapolis Colts made it look easy.,Sports
"Rookie Taylor Wins Playoff at Reno-Tahoe (AP) AP - Rookie Vaughn Taylor claimed his first PGA Tour victory Sunday, rolling in an 11-foot birdie putt on the first extra hole to win a four-way playoff at the Reno-Tahoe Open.",Sports
"Too Good to Be True? Red Sox Halfway Home (AP) AP - Pedro Martinez on the mound. A confident, yappy bunch. A 2-0 lead, halfway to the World Series championship. Could it really be this easy for the Boston Red Sox?",Sports
"Henry: Record not enough Arsenal striker Thierry Henry says reaching their milestone on Sunday will mean nothing if they don #39;t win anything. The5-3 win over Middlesbrough equalled Nottingham Forest #39;s 42-game unbeaten League run, set 25 years ago.",Sports
"England take on Spain in friendly MADRID: Spain will host England for a friendly on November 17 in Real Madrid #39;s Santiago Bernabeu stadium, the profits from which will go towards the Association of Spanish Footballers (AFE), the Spanish Football Federation announced yesterday.",Sports
Spurrier to Coach South Carolina The Nashville Tennessean reports Spurrier has agreed to take over at South Carolina if Lou Holtz retires. Spurrier won a national championship and six SEC championships in 12 seasons at Florida before leaving to take the Washington Redskins job.,Sports
"Johnson hangs on for win CONCORD, NC  Jimmie Johnson won the UAW-GM 500 Saturday night, but the overwhelming drama of the race was the uncanny comeback of his mentor and teammate, Jeff Gordon, from two separate wrecks to finish second.",Sports
"UMass hasn't cleaned up act AMHERST -- They're talented but inexperienced, so flawless play is a bit much to expect of the University of Massachusetts Minutemen at this stage of the season.",Sports
"Golf: Kim Leads State Farm Classic American Christina Kim has a four stroke lead mid-way through the Ladies Professional Golf Association State Farm Classic in Springfield, Illinois.",Sports
"No. 10 Virginia Tech 16, No. 9 Miami 10 MIAMI Virginia Tech can now proclaim itself the Atlantic Coast Conference #39;s best team _ and no one can argue. The 10th-ranked Hokies capped their inaugural ACC season with the league #39;s outright championship.",Sports
"Last chance saloon for Diouf El Hadji Diouf has always enjoyed courting controversy. Be it spitting, diving or being a general nuisance to all and sundry the Senegal international has a penchant for getting involved in the more unsavoury side of the game.",Sports
"Kuznetsova Stuns Davenport to Reach U.S. Open Final  NEW YORK (Reuters) - Russian Svetlana Kuznetsova stunned an  injury-hit Lindsay Davenport 1-6, 6-2, 6-4 at the U.S. Open on  Friday to reach her first grand slam final and end the  American's hopes of regaining the world number one ranking.",Sports
Manning takes aim at NFL touchdown record WASHINGTON (AFP) - Indianapolis quarterback Peyton Manning can set a National Football League record for touchdown passes in a single season Sunday and secure a playoff spot for the Colts three games before the season #39;s end.,Sports
Ashes 2021-22: England star Ben Stokes reveals how talking about struggles fast tracked recovery,Sports
NBA finals preview? Wolves vs. Pistons Reigning league MVP Kevin Garnett has picked up where he left off last season for the Minnesota Timberwolves. The same cant be said for the defending NBA champion Detroit Pistons.,Sports
"Trail Blazers Suspend Woods  PORTLAND, Ore., (Sports Network) - Portland Trail Blazers  forward Qyntel Woods was suspended without pay pending the  club's investigation regarding allegations by Multnomah County  for dog abandonment and by Clackamas County for dog fighting.",Sports
"NBA, Union Debate Brawl Before Arbitrator NBA, Players #39; Union Go Before Arbitrator to Debate Suspensions of Four Players Over Mich. Brawl. A fan wearing a T-shirt with a message about the Indiana Pacers watches a large television screen during the ",Sports
"Pats bounce back behind Vinatieri #39;s TD pass ST. LOUIS -- New England Patriots kicker Adam Vinatieri beat the St. Louis Rams with his leg in Super Bowl XXXVI. This time, he used his leg and his arm.",Sports
"Jahnke takes a medal to Skate Canada Less than a week after winning his first international figure skating medal, Ryan Jahnke of Grosse Pointe Farms will compete at Skate Canada beginning tonight in Halifax, Nova Scotia.",Sports
Van Gundy paints offensive strategy MIAMI  Stan Van Gundy called his players together at the end of Monday #39;s practice and warned them about overlooking the obvious.,Sports
" #39;The gaffer has mellowed but his desire to win is still there #39; I was dying to ask. How on earth do you survive 13 full years playing for, arguably, the most demanding manager this country has ever seen?",Sports
Patriots linebacker Harvey Langi reportedly diagnosed with sprained MCL,Sports
"Hope lingers at Olympic Stadium as Expos set for possible last &lt;b&gt;...&lt;/b&gt; MONTREAL (CP) - A large crowd is expected at Olympic Stadium for what may be the last home game for the Montreal Expos on Wednesday night, but who knows if the mood will be that of a party or a funeral?",Sports
Relentless Hewitt in quarters LLEYTON HEWITT continued his red-hot run to reach his fifth straight US Open quarter-final at Flushing Meadows today. Australia #39;s 2001 champion obliterated unseeded Slovak Karol Beck 6-4 6-2 6-2 in 1hr 40min ,Sports
"Celtics lose fourth straight The Celtics come close again -- but ultimately lose 106-to-104 to the Miami Heat Sunday night. Paul Pierce missed one of two free throws with five seconds left that would have tied it for Boston, which lost its fourth straight.",Sports
Robbo ready to prove a point Bryan Robson has done the managerial equivalent of swimming the channel in landing a Premiership job after three years out of the top flight.,Sports
"Creating some enthusiasm With each game Paul Peterson plays, and each game he wins, the comparisons to another playmaking Boston College quarterback -- some guy named Flutie -- seem inevitable.",Sports
"Mussina leads playoff rotation Mel Stottlemyre revealed some of the Yankees #39; postseason pitching plans on Saturday afternoon, but Kevin Brown #39;s performance and the health of Orlando Hernandez are clouding ",Sports
"Jets forward Connor, Oilers captain McDavid, Isles goalie Sorokin named NHL 3 stars",Sports
Revived Wizards remain on a roll One of the longest-running curiosities in sports is why fans in Atlanta don #39;t come out to professional sports events. And many fans who showed up at Philips Arena last night ,Sports
"Renault F1 Team launches Bijoux Racing The Renault F1 Team is excited to announce the launch of a collection of luxury jewellery, in collaboration with designer Mary Kaczor: Bijoux Racing.",Sports
"New WI heroes - Sunday 26, September-2004 WEST INDIES thrilling victory yesterday in the International Cricket Council Champions Trophy meant the world to the five million people of the Caribbean.",Sports
Claudio Ranieri wants more from Watford after stunning fightback at Everton,Sports
"Center stage:  #39;A great moment for the Pac-10 #39; Los Angeles -- Cal wide receiver Chase Lyman was pondering today #39;s showdown with USC at the Memorial Coliseum. He gazed off for a moment, briefly lost in his own thoughts.",Sports
"Czechs hungry for Canada The Czech team landed in Toronto via Greenland yesterday and had a midnight practice according to the body clocks, but there was a discernible spring in their step and swagger to their skating stride.",Sports
"The more the Red Sox and Cubs talk about it, the worse it gets I #39;m pleased to report that you #39;ve heeded my anguished cry for thoughtful commentary and staved off my insidious plan to write a treatise on Keynesian economics.",Sports
"Watson placed on IR Tight end Benjamin Watson's season was doomed from the outset. Not only did Watson hold out of training camp and part ways with agent Tom Condon , who wanted him to hold firm on his wish for a five-year rookie contract rather than the six-year deal he ultimately signed, but now Watson's season is over after the team ...",Sports
"Americans Rely on Team Spirit for Davis Cup Final  SEVILLE, Spain (Reuters) - Facing a battalion of sturdy  Spanish baseliners and a partisan, vocal crowd, the United  States will rely on team spirit as it fights for the Davis Cup  this weekend.",Sports
"Who is third man in? Think the Red Sox have rotation issues? On the eve of tonight's Division Series opener with Minnesota, Yankees manager Joe Torre didn't know who will start Game 3 Friday or whether Orlando Hernandez even will be on the roster.",Sports
"Shakur Stevenson dominates Jamel Herring to claim WBO junior lightweight title as Evander Holyfield’s son, Evan, and Muhammad Ali’s grandson, Nico Ali Walsh, both secure stoppage wins on undercard watched by celebrities including Kanye West and Mike Tyson",Sports
Red Sox Fan Killed by Police Projectile (AP) AP - A college student celebrating the Red Sox come-from-behind victory over the New York Yankees was killed after a police officer called in to control the rowdy crowd shot her in the eye with what was designed to be a non-lethal projectile.,Sports
"SIZING UP SHAQ STAT LINE: Shaquille O #39;Neal had 24 points, 17 rebounds and four blocked shots in 38 minutes Friday against the Pistons. POWER PLAY: The crowd buzzed with anticipation when fan favorite Darko Milicic caught the ball on the block with O #39;Neal on his back.",Sports
Transactions BASEBALL Chicago (AL): Activated P Scott Schoeneweis from the 15-day DL. New York (NL): Named Omar Minaya general manager/executive vice president of baseball operations and signed him to five-year contract; named Jim Duquette senior vice president of baseball operations.,Sports
"NL notables Houston's Roger Clemens (18-4) isn't scheduled to make another start before the end of the regular season, but has suggested he'd like to pitch in the regular-season finale against Colorado Sunday.",Sports
Barcelona beats Real Madrid in Spanish league Barcelona moved further ahead in the Spanish league by beating rival Real Madrid 3-0 Saturday in the country #39;s biggest match. Samuel Eto #39;o and Giovanni van Bronckhorst scored in the first half and Ronaldinho ,Sports
Fan in search of drink tries climbing into Ravens’ radio booth,Sports
"Bryan twins put US in Davis Cup final Charleston, SC (Sports Network) - Bob and Mike Bryan teamed-up for a doubles win over Belarus on Saturday to clinch a spot in the Davis Cup final for the United States for the first time in seven years.",Sports
"Philo is in the know Normally, there are few sure things in golf, but here's something we can be certain of: The lads in today's final pairing at the 84th New England PGA Championship at Brae Burn Country Club will not require introductions.",Sports
"Nuggets #39; Lenard undergoes surgery Denver, CO (Sports Network) - Denver Nuggets guard Voshon Lenard underwent successful surgery Monday to repair his torn left Achilles #39; tendon.",Sports
"For Epstein, actions speak just as loud as words His torment lasted only 30 years, much less than most Red Sox fans', but unlike most, Theo Epstein actually did something about it.",Sports
"Pistons 87-79 over Rockets The NBA tips off its new season as the defending champions, the Detriot Pistons, overpowered the Houston Rockets 87-79. Rasheed Wallace led the offensive, scoring 24 points while ",Sports
Kosovo boxers stopped at Serbia border before championships,Sports
Olympics-Sprinters Serve Up Greatest Race on Earth  ATHENS (Reuters) - American sprinter Justin Gatlin won the  closest Olympic 100 meters in history as the fastest men on  earth staged a sporting spectacle that thrilled the world.,Sports
Aussies satisfied with a draw Australia has drawn 2-2 with Norway in its international friendly at Craven Cottage in London - Tim Cahill and Josip Skoko got the goals for Frank Farina #39;s side.,Sports
Montreal end Giants run Montreal Expos ended the San Francisco Giants #39; six-game winning streak with a 6-2 victory on Wednesday. ,Sports
"Azeri to take on the boys in Breeders #39; Cup Classic Grand Prairie, TX (Sports Network) - Former Horse of the Year Azeri will run against the boys Saturday in the Breeders #39; Cup Classic.",Sports
Three Hold Lead at Tour Championship (AP) AP - The leaves have transformed into a sparkling array of colors. There's a bit of a chill in the air. The golf season is coming to a close. Vijay Singh just loves this time of year.,Sports
"Decision Day: 2004 Referendum For a long, long time, November 2nd has been promoted as the biggest day of 2004. But that #39;s before October 9 fully came into focus.",Sports
"Diamondbacks Fire Backman (Reuters) Reuters - The Arizona Diamondbacks have\fired newly-hired manager Wally Backman and are expected to\replace him with Bob Melvin, according to a published report.",Sports
Schumacher: Mercedes ‘powerless’ at times in Austin,Sports
"UPDATE 1-Ronaldo strikes to give Real 1-1 draw at Betis Ronaldo scored only his second league goal of the season to scrape a 1-1 draw for Real Madrid away to Real Betis on Saturday. Real, beaten in their two previous league games, fell ",Sports
"NL Wrap: Cubs Edge Expos to Maintain Wild-Card Pace  NEW YORK (Reuters) - The Chicago Cubs registered an  important victory in their battle for the National League  wild-card berth, edging out the Expos 2-1 over 11 innings in  Montreal Wednesday.",Sports
Boxing: Khan will keep feet on ground TEENAGE boxing sensation Amir Khan punched is way to an Olympic silver medal yesterday - then worried about his homework and passing his driving test.,Sports
"Ben Curtis on Vijay Singh #39;s heels Ben Curtis came out of nowhere to win the 2003 British Open, one of the biggest upsets ever in a major championship. Almost immediately, nowhere found him again.",Sports
NASCAR to give hard-liquor ads green flag NASCAR officials e-mailed a bulletin to team executives Tuesday afternoon advising them that a longstanding ban on hard-liquor advertising will be lifted for next season.,Sports
New York Yankees Team Report - September 21 (Sports Network) - The New York Yankees will try to strengthen their hold on first place in the American league East this evening when they continue their three- game series with the Toronto Blue Jays at Yankee Stadium.,Sports
"UPDATE 2-Juventus and Roma make winning starts in Serie A Serie A title hopefuls Juventus and AS Roma made winning starts on Sunday, gaining an early advantage on rivals AC Milan and Inter who were held to draws on Saturday.",Sports
"Jones, Lions can run, finally I #39;d write  quot;finally quot; 26 times for each of Kevin Jones #39; carries Sunday, but that would look stupid. After waiting six years for some sign, any sign, that the Lions could run ",Sports
"Giants are now playing for next year When Tom Coughlin growled, gritted his teeth and clenched those fists his first day on the job, he vowed these Fasselian free falls were finished.",Sports
"Halladay, Delgado top rankings It may not have shown in the standings, but it showed up in the stats. The last-place Blue Jays had the top-ranked pitcher and position player in the Major Leagues last season, according to the Elias Sports Bureau.",Sports
"This Date in Baseball (AP) AP - 1934  #151; Daffy Dean of the St. Louis Cardinals pitched a no-hitter against the Brooklyn Dodgers for 3-0 victory in the second game of an Ebbets Field doubleheader. Daffy's brother, Dizzy, held Brooklyn hitless for eight innings in the opener and won 13-0.",Sports
"Column: In battle of top two, Mater Dei earns the win with a twist",Sports
Martinez Strikes for Red Sox in Game Three  ST. LOUIS (Reuters) - Pedro Martinez made his World Series  debut a memorable one Tuesday helping the Red Sox to a 4-1 win  over the St. Louis Cardinals and moving Boston one win away  from capturing their first World Series since 1918.,Sports
GOTTA SEE IT: Auston Matthews Scores 200th Goal Of His Career - SPORTSNET,Sports
Elite 2023 Shooting Guard Jared McCain is a Hot Commodity for College Coaches,Sports
"Derek Carr shines, Raiders beat Eagles 33-22",Sports
"With 754 receiving yards, Ja’Marr Chase ranks No. 1 all-time through seven games",Sports
"FOR ELI, LINE PUTS ON GOOD FRONT The Giants #39; fourth offensive snap yesterday provided the afternoon #39;s first obvious mistake. Its plot sounded frighteningly familiar.",Sports
"Athens Asides AUSTRIAN triathlon athlete Kate Allen passed Australia #39;s Loretta Harrop just seconds before crossing the finish line yesterday, completing a stunning race in which she passed over half the field during the final leg.",Sports
"Thomas Boswell Phil Mickelson took cash over country. Lefty rolled the dice. It may prove the worst gamble of his risk-taking career. Of course, with about \$80 million of Callaway Golf #39;s money under his pillow, maybe Phil will sleep like a baby.",Sports
"Stung by one that got away ORCHARD PARK, N.Y. -- It should have been the perfect cap to another precious win for Corey Dillon. For the first time in his three games as a Patriot, Dillon scored a touchdown, and he did so in grand fashion, bulling his way in from 15 yards.",Sports
"Morning After The Morning After -- Every week, uncut, honest thoughts first thing Monday morning, win or lose, before there #39;s time for  quot;the coach quot; inside to begin thinking rationally.",Sports
"Golf: Woods off to flying start in bid for first Japan tour win MIYAZAKI, Japan : American superstar Tiger Woods overcame rainy conditions to hit a five-under-par 65 for a three-stroke lead in the first round of the Dunlop Phoenix golf tournament.",Sports
Which UNC team will show up against 18th-ranked Tech? North Carolina has had some interesting results in what has been a very interesting season thus far for the Tar Heels. Virginia Tech coach Frank Beamer says only one of those results merits ,Sports
"Winning Iraqi Soccer Team Rare Cause for Joy  BAGHDAD (Reuters) - When Iraq's Olympic soccer side beat  Costa Rica nine days ago en route to their semi-final clash  with Paraguay later on Tuesday, Hussein Allawi jumped so high  with joy he cut his hand in the ceiling fan.",Sports
Lithuania wraps up with 100-85 win over Australia Title contender Lithuania wrapped up its preliminary round matches with a 5-0 record by defeating Australia 100-85 on August 23 in the men #39;s basketball competition.,Sports
"Golf: Luke Donald of England Captures European Masters English golfer Luke Donald has captured the European Masters tournament in Crans-sur-sierre, Switzerland by five strokes, for his second victory on the European Tour.",Sports
"O #39;Neal calls Kobe #39;s comments  #39;ridiculous #39; While being interviewed by Eagle County, Colo., police after his sexual encounter with a hotel employee, Lakers star Kobe Bryant said Shaquille O #39;Neal had paid up to \$1 million to women to keep them quiet about  quot;situations like this, quot; the Los Angeles ",Sports
‘BYU is near and dear to my heart’: What Bronco had to say about facing former team,Sports
Schumacher stays on course Jarno Trulli benefited from changeable weather conditions to take pole position for today #39;s Belgian Grand Prix after an inspired tyre choice gave him the edge.,Sports
Rovers win precious points Blackburn Rovers got their first away win of the season beating Fulham 2-0 at Craven Cottage on Saturday. Paul Gallagher #39;s 10th-minute strike and a Paul Dickov penalty with 13 minutes remaining sealed the ,Sports
Jets Rookie Coleman Comes Up Big in Opener (AP) AP - New York Jets safety Erik Coleman got his souvenir football from the equipment manager and held it tightly.,Sports
"Aussie debutant, India #39;s smiling assassin shine on first day BANGALORE: Anil Kumble hardly shows his emotions on the field. The day offered an exception. Kumble allowed himself the luxury of an extravagant display of his jubilation.",Sports
Paris Fury hits back at claims she is with Tyson for his money and claims boxing star is her ‘nightmare AND dream man’,Sports
"Olson Collects 1,000th Win Arizona coach Lute Olson gets his 1,000th victory Saturday as the No. 15 Wildcats knock off visiting Utah, 67-62, in Tuscon.",Sports
In my lifetime I wanted to see Pakistan beat India in World Cup: Akram,Sports
"For Knicks, 11 Games Down, 71 to Go and they would surely like to - the Knicks could look over their shoulders at mid-November and feel mildly satisfied. In the two-week span from Nov.",Sports
Moss Among Nine Vikings Fined for Bears Altercation (Reuters) Reuters - The NFL handed down fines to 15\players involved in a scuffle between the Minnesota Vikings and\Chicago Bears on Sept. 26.,Sports
"Lions take early lead after first quarter of Grey Cup CBC SPORTS ONLINE - BC Lions coach Wally Buono #39;s decision to name Dave Dickenson as his starting quarterback may have been a surprising, but so far it looks like the right one.",Sports
"Doba: roll the dice against the No. 1 Trojans This is the week Washington State coach Bill Doba becomes a gambler. When top-ranked Southern California (7-0, 4-0 Pac-10) visits Martin Stadium on Saturday, it will be the first time a No.",Sports
"Schilling Gets 20th As Red Sox Beat D-Rays (AP) AP - Curt Schilling became the first 20-game winner in the major leagues this season, reaching the mark for the third time in four years and leading the Boston Red Sox to an 11-4 victory over the Tampa Bay Devil Rays on Thursday night.",Sports
"It wasn #39;t exactly terrorism, but ... I was just going to say how happy I was that I was wrong with my dire warnings that there was going to be some sort of incident at the Athens Games ... when something happened toward the end of the men #39;s marathon on Sunday.",Sports
"European Game, Already on a High, Eyes Major Peaks  LONDON (Reuters) - England's victory at the WGC-World Cup  of Golf in Spain on Sunday has capped a remarkable year for  Paul Casey and Luke Donald, British golf and the European game  in general.",Sports
"Suns place Voskuhl on IL Phoenix, AZ (Sports Network) - The Phoenix Suns Friday placed Jake Voskuhl on the injured list after the center had an emergency appendectomy surgery.",Sports
Toronto Raptors Team Report - November 10 (Sports Network) - The Toronto Raptors continues its Western Conference road trip tonight when they play the Utah Jazz at the Delta Center.,Sports
"After Waiting a Long Time, Davenport Keeps It Short The weather played havoc with the U.S. Open schedule Wednesday, but it did not affect Lindsay Davenport, who rolled to a quarterfinal victory over Shinobu Asagoe.",Sports
Ferguson Offers Rooney Helping Hand Sir Alex Ferguson is confident he can keep Wayne Rooneys feet firmly on the ground despite his sensational Champions League debut.,Sports
"Notes: Crain plays two They may seem like uncharted waters for closer-in-waiting Jesse Crain, but two-inning stints are all part of the master plan for the rookie reliever.",Sports
"Pakistan score 256 for eight on second day of Faisalabad Test: Sports India, Cricket: Faisalabad, Oct. 21 : Pakistan scored 256 for the loss of eight wickets on the second day of the Faisalabad test.",Sports
"Eli #39;s future up in the air Eli Manning will likely develop into an elite quarterback, maybe even a special one, and yet he will never, ever scare a defense quite like Michael Vick.",Sports
"Baseball Owners Tentatively OK Expos Move (AP) AP - Baseball owners took another step toward moving the Montreal Expos to Washington next year, giving conditional approval Friday but hinging their decision on the September agreement that did not cap the cost of a new ballpark.",Sports
Boro snatch a point Middlesbrough came from nowhere to deprive Harry Redknapp of victory in his first match in charge of Southampton with two goals in the dying minutes to snatch a 2-2 draw.,Sports
"Rugby: New Zealand expects to make millions out of Lions #39; tour WELLINGTON : The British and Irish Lions have agreed to play an extra match in their three Test tour of New Zealand next year, the New Zealand Rugby Union (NZRU) revealed.",Sports
"Walker lands two big ones in opener It has become a bit of tradition for Larry Walker that when October comes around, he goes fishing.  quot;Normally, I #39;m up in my cabin in British Columbia with my brother and some buddies fishing for some salmon ",Sports
"India vs Pakistan: IND, PAK to meet in their 200th international match at T20 World Cup 2021",Sports
'Get this kid to Arsenal': Some Gunners fans want Edu to sign a player he thinks is too small,Sports
Ian Wright claims there's a 'massive problem' if ex left-back isn't on Newcastle's wishlist,Sports
"Owen  amp; Becks named on World Player short-list Justice has been served. Following his dynamic season for Liverpool, breathtaking contribution at Euro 2004, and goals-laden start to his career in Spain, Michael Owen has rightly been named on the shortlist for the FIFA World Player of the Year award.",Sports
Tressel picks Zwick over Smith Justin Zwick will start at quarterback for No. 9 Ohio State in its season opener after the former heralded recruit beat out fellow sophomore Troy Smith for the job in preseason practice.,Sports
AN AMAZIN #39; DAY What you realized very quickly yesterday was that this was not just the celebration of a marquee signing or pristine ace. What you realized was that the new face of the Mets arrived yesterday.,Sports
"Klopp calls 5-0 win at United an ""insane result""",Sports
411 Ground & Pound MMA Podcast: UFC 267 Preview,Sports
"'It’s a good day, a really good good day' - Jurgen Klopp",Sports
Spartans too timid The claustrophobic aren #39;t welcomed here. This is basketball with a saliva spray. It #39;s in your face. It #39;s in your hair.,Sports
"Mental miscues hurt the Gators Flinching in the trenches, holding around quarterback Chris Leak and even a late hit by punter Eric Wilbur plagued Florida throughout the game.",Sports
Where Was Portis? Let #39;s see the Fantasy League expert who had Clinton Portis being relegated to an afterthought while foreseeing Jerome Bettis carrying the Steelers to the team #39;s longest winning streak since 1976.,Sports
"Ohio St. RB suspended for Indiana game COLUMBUS, Ohio - Mired in a three-game losing streak, Ohio State will be without senior running back Lydell Ross for Saturdays game against Indiana.",Sports
"Canas advances in Shanghai, Ferrero out SHANGHAI (Ticker) - Third seed Guillermo Canas of Argentina became the first seeded player to reach the second round of the Heineken Open Shanghai.",Sports
"Mauresmo, Davenport reach semis Amelie Mauresmo and Lindsay Davenport won in straight sets Friday to reach the Porsche Grand Prix semifinals in another step in their battle for the No.",Sports
"Sportsview: Time for Haas to Pay His Dues (AP) AP - Bill Haas never imagined playing anywhere but the PGA Tour, and he couldn't hide his frustration after coming up two shots short of a tour card at Q-school.",Sports
"French driver killed in motorcycle rally racing in Egypt #39;s desert French driver Richard Sainct died in a crash Wednesday during the fourth stage of the International Cross Country Rally, Pharaohs Rally in Egypt.",Sports
Knicks stunned by lowly Magic for first loss of season,Sports
"Past meets present here  quot;You are entering the past, quot; the sign says.  quot;No cellphones. quot; Inside, the wooden floor creaks in spots and the aisles are crammed with everything from souvenir coffee mugs to toothpaste. There's even homemade fudge.",Sports
"Harvard boasts big-time talent Clifton Dawson had been on the Harvard campus exactly one day before preseason practice began for the 2003 season. There was little time to introduce himself to his teammates.  quot;I wondered what was expected of me and I felt I had something to prove, quot; said Dawson, who had withdrawn from Northwestern -- where he was on a football scholarship -- ...",Sports
Ben Stokes reveals he was ‘in a real dark place and having some difficult thoughts’ before taking break from England,Sports
